Cargo_ID,Order_ID,Length_cm,Width_cm,Height_cm,Weight_kg,Category,Fragile,Destination_Zone,Priority,Stackable,Sorting_Sequence,Robotic_Pick_Position_X,Robotic_Pick_Position_Y,Robotic_Pick_Position_Z
CARGO_0001,ORDER_355,12.9,33.0,6.2,4.28,Electronics,True,Zone_D,3,False,32,46.0,30.5,4.0
CARGO_0002,ORDER_349,11.6,23.4,4.2,2.44,Books,False,Zone_A,5,True,89,4.9,25.1,1.4
CARGO_0003,ORDER_1116,7.4,10.4,5.4,0.81,Clothing,False,Zone_A,3,True,40,20.2,24.0,2.2
CARGO_0004,ORDER_434,19.8,12.0,8.3,4.38,Beauty,True,Zone_A,3,False,19,19.6,31.4,5.3
CARGO_0005,ORDER_135,19.1,20.1,3.5,2.39,Books,False,Zone_D,2,True,16,36.5,15.7,4.1
CARGO_0006,ORDER_575,12.6,2.8,2.1,0.17,Beauty,True,Zone_D,4,False,36,39.4,22.8,9.1
CARGO_0007,ORDER_141,21.3,17.0,4.8,4.17,Books,False,Zone_B,3,True,90,36.7,14.6,4.1
CARGO_0008,ORDER_751,34.9,19.2,9.3,14.46,Clothing,False,Zone_C,5,True,71,40.5,32.3,7.1
CARGO_0009,ORDER_397,42.3,37.0,4.3,13.64,Electronics,True,Zone_A,5,False,9,10.9,22.1,5.2
CARGO_0010,ORDER_734,7.1,11.2,7.5,1.17,Beauty,True,Zone_D,1,False,91,15.5,30.6,4.7
CARGO_0011,ORDER_136,4.2,11.9,1.1,0.11,Beauty,True,Zone_C,4,False,82,16.8,44.3,2.1
CARGO_0012,ORDER_860,22.8,23.9,28.5,29.35,Home_Appliances,False,Zone_B,2,True,59,3.6,3.4,9.0
CARGO_0013,ORDER_308,38.3,31.1,8.4,23.66,Electronics,True,Zone_C,1,False,71,43.6,22.0,0.8
CARGO_0014,ORDER_370,17.7,6.1,3.8,0.85,Clothing,False,Zone_D,2,True,41,4.6,4.8,1.4
CARGO_0015,ORDER_697,7.5,12.8,4.1,0.87,Beauty,True,Zone_B,5,False,48,34.8,11.6,2.6
CARGO_0016,ORDER_392,48.1,12.9,9.2,11.0,Electronics,True,Zone_D,2,False,70,41.0,4.1,1.9
CARGO_0017,ORDER_448,6.2,2.9,8.0,0.28,Beauty,True,Zone_A,3,False,20,37.2,46.3,7.3
CARGO_0018,ORDER_619,26.7,7.3,17.4,6.33,Toys,False,Zone_B,2,True,57,35.0,4.6,8.7
CARGO_0019,ORDER_464,39.3,17.8,4.0,5.36,Sports,False,Zone_B,1,True,42,43.6,0.5,6.1
CARGO_0020,ORDER_761,10.6,27.4,2.2,1.43,Electronics,True,Zone_D,3,False,43,24.8,12.8,2.7
CARGO_0021,ORDER_109,38.8,13.5,3.4,3.94,Clothing,False,Zone_D,2,True,80,28.7,47.7,5.5
CARGO_0022,ORDER_1054,36.8,16.5,13.9,19.65,Toys,False,Zone_D,4,True,58,26.5,5.0,8.3
CARGO_0023,ORDER_270,24.4,22.4,2.6,2.84,Books,False,Zone_A,5,True,46,25.6,20.0,3.3
CARGO_0024,ORDER_843,31.6,24.3,4.7,6.7,Electronics,True,Zone_B,4,False,92,32.0,19.0,7.9
CARGO_0025,ORDER_325,29.3,11.6,27.4,21.22,Sports,False,Zone_C,1,True,27,35.1,26.4,5.3
CARGO_0026,ORDER_253,24.9,20.2,27.3,23.42,Sports,False,Zone_C,1,True,67,21.3,44.8,8.6
CARGO_0027,ORDER_558,36.1,17.6,9.7,13.51,Sports,False,Zone_D,2,True,5,23.9,43.4,6.3
CARGO_0028,ORDER_785,17.9,18.6,4.4,2.96,Books,False,Zone_B,4,True,19,36.5,42.3,6.3
CARGO_0029,ORDER_176,10.8,30.3,8.6,6.09,Electronics,True,Zone_B,1,False,19,49.6,24.5,4.8
CARGO_0030,ORDER_397,28.1,16.5,1.1,1.22,Books,False,Zone_C,1,True,69,42.0,13.4,4.2
CARGO_0031,ORDER_528,58.9,7.1,10.6,10.22,Sports,False,Zone_A,3,True,92,24.9,45.8,1.4
CARGO_0032,ORDER_869,19.0,12.0,3.8,1.89,Books,False,Zone_A,1,True,97,45.9,34.1,2.1
CARGO_0033,ORDER_700,15.2,6.9,2.7,0.46,Beauty,True,Zone_A,3,False,73,10.5,34.9,5.4
CARGO_0034,ORDER_788,36.8,19.7,10.0,13.5,Toys,False,Zone_D,4,True,43,27.2,35.3,6.3
CARGO_0035,ORDER_280,19.7,35.0,27.5,41.11,Sports,False,Zone_B,5,True,11,30.2,14.0,6.1
CARGO_0036,ORDER_1155,11.7,20.7,13.9,6.23,Electronics,False,Zone_B,4,True,62,4.1,22.6,9.7
CARGO_0037,ORDER_1177,9.8,5.2,6.9,0.58,Beauty,False,Zone_D,3,True,32,7.3,33.0,6.6
CARGO_0038,ORDER_792,43.4,28.7,6.5,19.0,Electronics,False,Zone_D,1,True,6,13.1,2.8,2.0
CARGO_0039,ORDER_380,6.0,12.3,2.4,0.31,Beauty,True,Zone_C,4,False,96,13.6,33.5,6.1
CARGO_0040,ORDER_50,14.0,6.1,5.5,1.07,Beauty,False,Zone_D,2,True,92,42.1,3.7,7.1
CARGO_0041,ORDER_214,19.5,3.7,1.4,0.2,Beauty,True,Zone_C,2,False,97,37.6,0.1,0.9
CARGO_0042,ORDER_239,43.9,32.5,15.7,45.5,Electronics,True,Zone_B,3,False,8,39.1,10.2,8.8
CARGO_0043,ORDER_459,16.5,17.1,2.2,1.19,Books,False,Zone_B,3,True,42,5.3,11.7,7.8
CARGO_0044,ORDER_624,23.3,20.3,4.5,3.45,Sports,False,Zone_A,5,True,41,23.9,36.3,6.4
CARGO_0045,ORDER_303,68.5,24.2,44.6,175.23,Home_Appliances,False,Zone_B,5,False,2,37.8,14.0,6.0
CARGO_0046,ORDER_448,12.9,17.5,8.6,3.75,Clothing,False,Zone_A,3,True,42,45.0,38.2,4.0
CARGO_0047,ORDER_633,15.5,31.7,5.5,5.13,Electronics,False,Zone_D,3,True,8,25.0,24.7,4.2
CARGO_0048,ORDER_753,11.7,10.0,2.2,0.5,Books,False,Zone_D,4,True,4,38.2,44.3,4.3
CARGO_0049,ORDER_159,11.1,29.5,3.3,2.5,Electronics,True,Zone_D,4,False,76,4.7,9.5,4.6
CARGO_0050,ORDER_137,18.2,9.6,2.7,0.89,Beauty,True,Zone_D,5,False,33,47.7,37.7,5.6
CARGO_0051,ORDER_1023,9.2,12.9,4.9,1.04,Beauty,True,Zone_C,3,False,5,31.3,46.0,0.9
CARGO_0052,ORDER_1062,39.8,32.3,13.0,36.98,Sports,False,Zone_B,5,True,19,46.3,32.5,5.5
CARGO_0053,ORDER_960,36.5,12.8,9.9,9.36,Clothing,False,Zone_C,4,True,75,48.5,6.1,0.5
CARGO_0054,ORDER_587,32.8,31.4,6.3,10.95,Toys,False,Zone_B,3,True,95,46.7,32.6,3.6
CARGO_0055,ORDER_1030,21.6,27.5,17.4,22.14,Toys,False,Zone_A,5,True,48,49.7,8.4,9.1
CARGO_0056,ORDER_1139,32.6,22.7,6.1,7.76,Clothing,False,Zone_D,2,True,14,36.8,49.8,9.5
CARGO_0057,ORDER_789,51.7,40.1,35.3,161.83,Home_Appliances,False,Zone_C,2,False,63,6.0,32.6,1.0
CARGO_0058,ORDER_853,59.5,31.3,28.6,110.8,Sports,False,Zone_D,5,False,3,36.7,17.1,3.9
CARGO_0059,ORDER_194,47.5,53.3,17.7,76.53,Home_Appliances,False,Zone_B,5,False,18,4.2,30.1,2.9
CARGO_0060,ORDER_1145,32.6,53.3,36.2,125.7,Home_Appliances,False,Zone_D,1,False,86,40.5,45.3,3.0
CARGO_0061,ORDER_900,47.1,24.2,41.8,109.15,Home_Appliances,False,Zone_B,2,False,23,32.7,10.0,8.9
CARGO_0062,ORDER_730,13.8,5.4,3.3,0.58,Electronics,False,Zone_A,1,True,52,14.4,35.6,5.5
CARGO_0063,ORDER_953,40.3,12.3,12.8,11.81,Electronics,True,Zone_D,2,False,49,45.4,13.8,0.8
CARGO_0064,ORDER_141,23.3,28.8,5.9,8.11,Toys,False,Zone_A,2,True,96,40.8,26.6,9.2
CARGO_0065,ORDER_50,16.6,28.9,1.6,1.54,Clothing,False,Zone_D,5,True,4,19.2,5.4,8.9
CARGO_0066,ORDER_796,54.8,45.7,13.0,55.6,Home_Appliances,False,Zone_D,3,False,1,38.1,45.8,8.6
CARGO_0067,ORDER_609,32.8,30.2,2.9,6.89,Electronics,False,Zone_A,4,True,84,12.2,25.1,0.1
CARGO_0068,ORDER_312,14.6,22.8,2.7,1.77,Books,False,Zone_D,3,True,11,21.1,26.9,3.2
CARGO_0069,ORDER_936,53.0,54.4,49.6,291.58,Home_Appliances,False,Zone_D,4,False,65,38.8,27.6,8.0
CARGO_0070,ORDER_51,5.6,11.6,2.5,0.34,Beauty,True,Zone_B,1,False,21,33.9,23.1,6.3
CARGO_0071,ORDER_732,5.0,3.4,7.6,0.23,Beauty,False,Zone_B,1,True,93,39.1,7.7,1.4
CARGO_0072,ORDER_397,12.2,22.8,10.0,5.6,Clothing,False,Zone_A,5,True,48,24.4,19.6,0.6
CARGO_0073,ORDER_941,45.7,29.2,28.3,64.93,Sports,False,Zone_D,1,False,31,12.1,39.8,4.4
CARGO_0074,ORDER_885,11.8,3.5,6.2,0.56,Beauty,True,Zone_B,4,False,70,20.4,7.0,9.9
CARGO_0075,ORDER_1167,11.1,5.0,2.9,0.27,Beauty,True,Zone_C,4,False,46,34.6,10.5,4.3
CARGO_0076,ORDER_570,10.3,9.1,6.2,1.01,Beauty,True,Zone_D,3,False,19,24.8,39.2,8.0
CARGO_0077,ORDER_169,13.7,11.3,8.2,2.62,Sports,False,Zone_A,5,True,89,11.0,18.7,9.2
CARGO_0078,ORDER_1097,35.6,15.1,3.1,3.79,Clothing,False,Zone_A,5,True,30,21.6,4.8,2.1
CARGO_0079,ORDER_237,35.3,28.3,16.2,32.85,Electronics,True,Zone_D,4,False,35,48.2,29.6,5.5
CARGO_0080,ORDER_431,32.6,48.6,35.0,125.25,Home_Appliances,False,Zone_D,1,False,55,19.6,18.2,4.4
CARGO_0081,ORDER_276,11.3,19.7,24.5,9.83,Sports,False,Zone_B,5,True,89,40.4,9.6,8.7
CARGO_0082,ORDER_384,27.3,16.8,9.1,6.81,Clothing,False,Zone_A,3,True,74,36.7,11.2,0.3
CARGO_0083,ORDER_402,17.2,9.6,17.8,6.31,Toys,False,Zone_A,5,True,97,10.5,2.9,4.1
CARGO_0084,ORDER_216,19.4,14.5,19.1,12.26,Electronics,True,Zone_D,1,False,9,35.6,48.7,9.3
CARGO_0085,ORDER_816,42.2,29.3,23.7,53.68,Home_Appliances,False,Zone_D,1,False,78,36.5,45.2,5.5
CARGO_0086,ORDER_1168,44.4,18.6,16.7,27.54,Electronics,False,Zone_B,4,True,42,47.8,19.1,4.2
CARGO_0087,ORDER_446,17.9,15.6,4.6,2.17,Clothing,False,Zone_D,1,True,16,4.6,44.4,2.2
CARGO_0088,ORDER_160,14.6,15.9,2.4,1.33,Toys,False,Zone_C,4,True,86,39.3,45.6,8.7
CARGO_0089,ORDER_97,75.9,44.5,10.7,76.99,Home_Appliances,False,Zone_C,2,False,14,1.3,14.3,9.7
CARGO_0090,ORDER_462,10.6,13.8,9.0,2.57,Clothing,False,Zone_B,1,True,96,12.3,28.3,0.8
CARGO_0091,ORDER_629,21.5,11.5,11.6,5.18,Toys,False,Zone_D,1,True,61,35.8,1.0,6.1
CARGO_0092,ORDER_1116,26.9,58.3,26.9,80.78,Home_Appliances,False,Zone_C,3,False,64,5.5,0.3,2.9
CARGO_0093,ORDER_731,30.4,14.1,21.2,18.53,Sports,False,Zone_B,5,True,88,17.0,40.4,1.8
CARGO_0094,ORDER_860,10.8,17.8,3.9,1.78,Books,False,Zone_B,3,True,99,8.5,31.4,8.0
CARGO_0095,ORDER_844,14.5,9.4,3.7,1.11,Beauty,False,Zone_B,2,True,38,19.5,29.4,3.1
CARGO_0096,ORDER_364,18.0,23.8,1.4,1.29,Clothing,False,Zone_A,5,True,6,32.5,21.7,9.2
CARGO_0097,ORDER_1077,65.3,45.5,27.4,166.03,Home_Appliances,False,Zone_D,3,False,22,0.1,6.1,6.8
CARGO_0098,ORDER_512,35.8,6.8,8.6,3.54,Clothing,False,Zone_A,4,True,57,0.4,48.2,7.0
CARGO_0099,ORDER_381,23.0,28.7,8.1,11.87,Toys,False,Zone_B,1,True,14,20.6,25.7,4.6
CARGO_0100,ORDER_1051,38.5,18.4,10.6,15.28,Toys,False,Zone_C,4,True,36,2.0,7.9,5.5
CARGO_0101,ORDER_783,44.1,35.6,14.7,39.24,Electronics,False,Zone_C,3,False,62,40.3,40.0,6.9
CARGO_0102,ORDER_831,11.6,37.1,14.3,10.0,Electronics,True,Zone_D,1,False,17,7.3,44.7,9.2
CARGO_0103,ORDER_753,67.5,34.0,22.2,108.88,Home_Appliances,False,Zone_B,4,False,21,21.1,49.7,3.3
CARGO_0104,ORDER_894,24.8,21.0,6.9,5.82,Clothing,False,Zone_B,1,True,45,7.7,27.4,7.7
CARGO_0105,ORDER_323,43.1,16.7,16.6,20.88,Electronics,False,Zone_A,3,True,57,24.0,8.8,3.1
